employment_type,age,credit_score,monthly_income,loan_amount,previous_defaults,account_age,loan_enquiries,housing_type,total_expenditure,other_fixed_expenses,gross_revenue,expected_margin,business_rent,utilities_salaries,business_age,gst_registered,business_type,loan_purpose,credit_utilization,payment_history_length,savings_ratio,employment_stability,income_volatility,disposable_income_ratio,dti_ratio,loan_to_income,foir,dscr,expense_to_revenue,rental_burden,defaulted
salaried,21,697,67538,181805,0,0.5,3,rent,37431,12127,0,0.0,0,0,0.0,0,none,personal,0.46,1,0.275,1.0,0.106,0.2662,0.5542,0.2243,0.7338,44.5783,0.0,0.0339,1
self_employed,44,744,15348,188420,1,6.9,1,rent,9153,1496,63683,24.1,9938,7366,7.3,0,service,home,0.29,79,0.293,7.3,0.201,0.3062,0.5964,1.023,0.6938,9.7748,0.2717,0.1561,0
self_employed,43,626,21684,264235,0,8.9,5,owned,6923,2255,55744,38.9,8662,9728,0.5,1,service,gold,0.573,92,0.6,0.5,0.367,0.5767,0.3193,1.0155,0.4233,9.8476,0.3299,0.1554,0
salaried,21,639,95297,1597499,0,1.0,3,rent,64054,10243,0,0.0,0,0,0.0,0,none,home,0.389,5,0.193,1.0,0.347,0.2204,0.6722,1.3969,0.7796,7.1585,0.0,0.0967,1
salaried,40,638,50503,546309,0,0.5,0,owned,29317,10304,0,0.0,0,0,0.0,0,none,business,0.899,5,0.225,1.9,0.103,0.2155,0.5805,0.9014,0.7845,11.0933,0.0,0.0,1
salaried,29,759,39914,498967,1,9.0,0,rent,24694,4915,0,0.0,0,0,0.0,0,none,vehicle,0.068,112,0.225,1.5,0.144,0.2582,0.6187,1.0418,0.7418,9.5992,0.0,0.1437,0
self_employed,38,793,18892,209290,1,0.6,2,rent,9451,2871,152352,12.4,17848,20349,12.7,1,trading,home,0.624,5,0.33,12.7,0.461,0.3478,0.5003,0.9232,0.6522,10.8321,0.2507,0.1171,0
salaried,45,566,48906,601529,1,0.5,8,rent,25530,4027,0,0.0,0,0,0.0,0,none,home,0.778,9,0.486,0.7,0.036,0.3956,0.522,1.025,0.6044,9.7563,0.0,0.1189,1
self_employed,27,717,26873,167179,1,3.3,1,owned,8545,4411,118909,22.6,8059,20479,2.0,1,manufacturing,home,0.619,35,0.438,2.0,0.345,0.5179,0.318,0.5184,0.4821,19.2893,0.24,0.0678,0
salaried,36,775,34745,193623,0,1.2,1,owned,16486,7010,0,0.0,0,0,0.0,0,none,home,0.235,10,0.279,0.3,0.046,0.3238,0.4745,0.4644,0.6762,21.5336,0.0,0.0,0
self_employed,33,753,14637,251809,0,6.1,1,owned,6045,1665,113467,12.9,18798,29917,0.7,1,trading,business,0.49,71,0.345,0.7,0.6,0.4733,0.413,1.4336,0.5267,6.9753,0.4293,0.1657,0
salaried,26,777,26950,154848,0,6.0,0,owned,14587,5198,0,0.0,0,0,0.0,0,none,vehicle,0.304,75,0.247,1.4,0.4,0.2659,0.5413,0.4788,0.7341,20.885,0.0,0.0,0
salaried,39,665,21304,325703,0,7.0,2,owned,10131,2687,0,0.0,0,0,0.0,0,none,business,0.624,81,0.372,4.9,0.37,0.3983,0.4755,1.274,0.6017,7.8491,0.0,0.0,1
self_employed,46,675,17227,136332,1,1.1,3,owned,9108,3013,70602,24.4,12759,18934,6.4,0,service,home,0.336,13,0.278,6.4,0.564,0.2964,0.5287,0.6595,0.7036,15.1633,0.4489,0.1807,0
salaried,26,571,40454,382461,0,3.9,2,owned,25733,4271,0,0.0,0,0,0.0,0,none,education,0.693,57,0.175,1.2,0.093,0.2583,0.6361,0.7879,0.7417,12.6927,0.0,0.0,0
salaried,35,801,31952,589398,0,4.9,0,owned,20449,7764,0,0.0,0,0,0.0,0,none,home,0.243,54,0.158,0.9,0.4,0.117,0.64,1.5372,0.883,6.5053,0.0,0.0,0
self_employed,26,606,35938,512892,2,3.6,6,rent,17014,2296,141489,25.4,11076,37935,15.1,0,manufacturing,gold,0.426,38,0.472,15.1,0.6,0.4627,0.4734,1.1893,0.5373,8.4083,0.3464,0.0783,0
self_employed,31,681,36280,929726,0,3.8,0,owned,24419,4776,159124,22.8,9893,53764,7.3,1,manufacturing,home,0.434,49,0.219,7.3,0.415,0.1953,0.6731,2.1355,0.8047,4.6827,0.4,0.0622,0
self_employed,28,683,35916,309819,2,1.9,1,rent,11090,3418,160339,22.4,30535,18600,7.0,0,manufacturing,personal,0.188,29,0.596,7.0,0.6,0.5961,0.3088,0.7189,0.4039,13.9111,0.3064,0.1904,1
self_employed,34,819,81681,1854112,0,1.2,0,owned,55635,8087,777910,10.5,80178,238926,6.2,1,trading,personal,0.101,8,0.224,6.2,0.407,0.2199,0.6811,1.8916,0.7801,5.2865,0.4102,0.1031,0
self_employed,33,611,4542,50000,0,3.2,0,owned,1656,284,51613,8.8,3860,5187,5.1,1,trading,education,0.442,36,0.594,5.1,0.57,0.5729,0.3646,0.9174,0.4271,10.9008,0.1753,0.0748,0
salaried,32,566,15000,190737,0,0.5,0,owned,9508,1102,0,0.0,0,0,0.0,0,none,home,0.77,8,0.248,1.6,0.4,0.2927,0.6339,1.0596,0.7073,9.4371,0.0,0.0,0
salaried,41,661,48012,392067,0,0.9,1,rent,21252,10875,0,0.0,0,0,0.0,0,none,business,0.618,4,0.328,0.1,0.205,0.3309,0.4426,0.6805,0.6691,14.695,0.0,0.05,0
salaried,31,747,39654,273513,0,11.0,2,rent,18133,2025,0,0.0,0,0,0.0,0,none,personal,0.076,129,0.522,11.0,0.023,0.4917,0.4573,0.5748,0.5083,17.3976,0.0,0.1084,0
salaried,38,796,50554,375826,1,6.1,3,owned,25233,7319,0,0.0,0,0,0.0,0,none,vehicle,0.108,68,0.403,0.7,0.22,0.3561,0.4991,0.6195,0.6439,16.1417,0.0,0.0,0
salaried,26,748,21909,363520,0,2.8,0,rent,13428,4666,0,0.0,0,0,0.0,0,none,education,0.325,31,0.21,4.8,0.388,0.1741,0.6129,1.3827,0.8259,7.2323,0.0,0.1042,1
salaried,27,794,53621,622207,0,2.3,0,rent,30011,5271,0,0.0,0,0,0.0,0,none,vehicle,0.515,31,0.317,6.6,0.131,0.342,0.5597,0.967,0.658,10.3414,0.0,0.0142,0
salaried,30,583,33015,626142,1,0.5,2,owned,17567,2003,0,0.0,0,0,0.0,0,none,home,0.646,18,0.505,6.0,0.272,0.4072,0.5321,1.5804,0.5928,6.3273,0.0,0.0,0
salaried,50,680,98570,525002,0,4.8,0,owned,50579,7958,0,0.0,0,0,0.0,0,none,business,0.719,55,0.433,3.3,0.365,0.4061,0.5131,0.4438,0.5939,22.5302,0.0,0.0,0
salaried,41,615,51632,570155,2,3.7,4,owned,33295,11018,0,0.0,0,0,0.0,0,none,home,0.415,42,0.131,0.7,0.066,0.1418,0.6449,0.9202,0.8582,10.8669,0.0,0.0,1
salaried,33,556,22401,104591,0,1.3,0,owned,13331,1491,0,0.0,0,0,0.0,0,none,home,0.622,9,0.331,0.4,0.067,0.3383,0.5951,0.3891,0.6617,25.7013,0.0,0.0,1
salaried,37,586,59233,562160,0,3.9,1,rent,39697,11748,0,0.0,0,0,0.0,0,none,education,0.954,44,0.0,0.2,0.163,0.1315,0.6702,0.7909,0.8685,12.644,0.0,0.0807,0
salaried,32,764,17855,263084,0,1.6,3,rent,10217,3841,0,0.0,0,0,0.0,0,none,education,0.253,30,0.203,2.0,0.359,0.2127,0.5722,1.2279,0.7873,8.1442,0.0,0.0856,1
salaried,38,637,61138,556031,0,0.5,3,owned,46217,9001,0,0.0,0,0,0.0,0,none,business,0.587,1,0.05,0.7,0.118,0.0968,0.7559,0.7579,0.9032,13.1945,0.0,0.0,1
self_employed,21,510,12700,366482,0,1.0,1,rent,7491,848,50000,25.4,3705,5312,2.4,0,manufacturing,vehicle,0.379,9,0.268,2.4,0.6,0.3434,0.5898,2.4047,0.6566,4.1585,0.1803,0.0741,1
salaried,31,780,48180,906437,0,5.6,3,rent,27562,8947,0,0.0,0,0,0.0,0,none,personal,0.518,63,0.219,0.1,0.103,0.2422,0.5721,1.5678,0.7578,6.3784,0.0,0.1442,0
self_employed,42,750,7400,104656,0,18.5,0,owned,4443,1207,50000,14.8,5850,11269,1.1,1,trading,home,0.693,219,0.28,1.1,0.523,0.2365,0.6004,1.1786,0.7635,8.4849,0.3424,0.117,0
self_employed,40,590,39940,638498,0,2.1,4,owned,17477,6388,327377,12.2,37673,46193,0.5,1,trading,vehicle,0.926,22,0.412,0.5,0.278,0.4025,0.4376,1.3322,0.5975,7.5064,0.2562,0.1151,0
self_employed,45,547,13500,220041,1,0.5,3,rent,5927,777,50000,27.0,8641,17295,1.2,1,manufacturing,education,0.83,20,0.51,1.2,0.542,0.5034,0.439,1.3583,0.4966,7.3623,0.5187,0.1728,0
salaried,23,732,15000,216174,0,3.0,3,rent,6671,3548,0,0.0,0,0,0.0,0,none,home,0.315,32,0.417,0.7,0.4,0.3187,0.4447,1.201,0.6813,8.3266,0.0,0.1213,0
salaried,30,692,57256,285448,1,3.3,0,rent,40117,10400,0,0.0,0,0,0.0,0,none,business,0.468,34,0.109,3.3,0.188,0.1177,0.7007,0.4155,0.8823,24.07,0.0,0.0383,1
salaried,25,656,118080,537983,0,5.0,0,owned,59802,25852,0,0.0,0,0,0.0,0,none,personal,0.712,61,0.219,3.0,0.249,0.2746,0.5065,0.3797,0.7254,26.3384,0.0,0.0,0
salaried,37,523,46354,317467,0,3.4,0,owned,22802,5166,0,0.0,0,0,0.0,0,none,business,0.763,43,0.284,1.3,0.266,0.3966,0.4919,0.5707,0.6034,17.5214,0.0,0.0,1
salaried,46,641,97829,500851,0,9.1,1,rent,53414,23945,0,0.0,0,0,0.0,0,none,vehicle,0.428,112,0.226,7.8,0.262,0.2092,0.546,0.4266,0.7908,23.4391,0.0,0.1181,0
salaried,42,629,27861,250630,1,2.2,3,rent,21098,5881,0,0.0,0,0,0.0,0,none,vehicle,0.42,23,0.054,0.3,0.093,0.0317,0.7573,0.7496,0.9683,13.3397,0.0,0.0502,1
salaried,29,648,60470,520202,0,0.5,2,owned,35228,11142,0,0.0,0,0,0.0,0,none,education,0.738,10,0.214,6.8,0.105,0.2332,0.5826,0.7169,0.7668,13.9492,0.0,0.0,0
salaried,39,769,57255,1094129,2,3.4,0,owned,37298,4040,0,0.0,0,0,0.0,0,none,vehicle,0.659,45,0.301,5.7,0.027,0.278,0.6514,1.5925,0.722,6.2795,0.0,0.0,0
self_employed,25,738,31026,131288,0,2.2,3,rent,9653,4490,80796,38.4,8063,17479,0.5,0,service,education,0.839,30,0.6,0.5,0.267,0.5442,0.3111,0.3526,0.4558,28.3584,0.3161,0.0998,0
