person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
24,133000,OWN,4.0,VENTURE,A,4000,7.4,0,0.03,N,3
21,50400,RENT,4.0,VENTURE,D,8000,15.62,0,0.16,Y,2
24,65000,MORTGAGE,2.0,EDUCATION,D,20000,14.09,0,0.31,Y,3
25,34000,RENT,3.0,MEDICAL,A,9600,7.88,0,0.28,N,4
26,43000,RENT,8.0,MEDICAL,A,7000,7.29,0,0.16,N,4
33,48000,MORTGAGE,1.0,PERSONAL,D,20000,16.07,0,0.42,N,10
42,66500,RENT,8.0,VENTURE,B,6000,10.25,0,0.09,N,15
25,60000,MORTGAGE,2.0,PERSONAL,B,1800,12.21,0,0.03,N,2
23,41000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,6000,9.32,0,0.15,N,3
48,19200,OWN,1.0,MEDICAL,C,7000,13.48,1,0.36,N,16
24,45000,RENT,5.0,EDUCATION,B,6000,10.99,0,0.13,N,3
30,60000,MORTGAGE,5.0,VENTURE,A,4000,6.99,0,0.07,N,7
21,40000,RENT,0.0,VENTURE,A,3000,7.49,0,0.07,N,3
26,76000,RENT,6.0,PERSONAL,C,8000,13.11,0,0.11,N,3
35,102000,RENT,3.0,DEBTCONSOLIDATION,C,20000,13.85,0,0.2,N,5
30,76080,MORTGAGE,8.0,HOMEIMPROVEMENT,B,12000,11.14,0,0.16,N,5
37,29536,RENT,2.0,MEDICAL,B,4000,11.89,0,0.14,N,17
25,133000,MORTGAGE,8.0,DEBTCONSOLIDATION,F,3000,17.9,1,0.02,Y,2
26,55000,RENT,3.0,VENTURE,C,5000,13.48,0,0.09,Y,4
30,27996,RENT,9.0,MEDICAL,C,1500,13.48,0,0.05,Y,8
33,63996,RENT,4.0,EDUCATION,B,3200,10.74,0,0.05,N,9
23,100000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,7000,8.59,0,0.07,N,4
22,59813,MORTGAGE,6.0,MEDICAL,E,20000,17.74,1,0.28,N,3
31,37584,RENT,0.0,MEDICAL,B,3900,10.99,0,0.1,N,10
29,63500,RENT,4.0,DEBTCONSOLIDATION,B,1600,11.83,0,0.03,N,5
22,60000,MORTGAGE,3.0,VENTURE,A,5000,7.9,0,0.08,N,2
36,120000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,14500,5.42,0,0.12,N,13
21,84000,RENT,5.0,VENTURE,A,7200,8.49,0,0.09,N,2
41,54000,MORTGAGE,6.0,VENTURE,C,5000,13.23,1,0.09,N,12
21,96000,OWN,1.0,EDUCATION,B,7000,12.53,0,0.07,N,4
26,52000,RENT,10.0,HOMEIMPROVEMENT,E,6000,15.68,0,0.12,N,3
29,96000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,12000,9.88,0,0.13,N,5
31,72000,RENT,0.0,HOMEIMPROVEMENT,A,8000,7.9,0,0.11,N,7
21,35000,RENT,5.0,VENTURE,C,7000,11.34,0,0.2,Y,3
24,74000,RENT,1.0,HOMEIMPROVEMENT,D,10000,14.54,1,0.14,N,2
27,69638,MORTGAGE,5.0,EDUCATION,B,16725,10.74,0,0.24,N,9
29,90000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,14000,7.9,0,0.16,N,9
24,32000,RENT,5.0,EDUCATION,C,12000,13.85,1,0.38,N,3
22,70000,MORTGAGE,6.0,EDUCATION,A,9750,8.49,0,0.14,N,4
25,70356,RENT,8.0,HOMEIMPROVEMENT,A,7000,7.29,0,0.1,N,4
31,66000,RENT,0.0,EDUCATION,A,6000,7.49,0,0.09,N,5
28,56000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,15000,7.49,0,0.27,N,9
28,42000,RENT,3.0,EDUCATION,D,9600,14.61,0,0.23,N,9
25,44196,MORTGAGE,8.0,HOMEIMPROVEMENT,A,4000,7.51,0,0.09,N,3
21,35368,RENT,0.0,DEBTCONSOLIDATION,C,5100,12.99,0,0.14,N,2
21,40000,RENT,5.0,MEDICAL,A,3600,5.42,0,0.09,N,4
30,60000,RENT,11.0,DEBTCONSOLIDATION,A,5500,7.51,0,0.09,N,10
32,105000,MORTGAGE,17.0,MEDICAL,C,5000,14.65,0,0.05,N,9
26,43000,RENT,0.0,PERSONAL,C,9000,13.85,0,0.21,Y,4
35,39000,RENT,5.0,PERSONAL,B,10625,10.99,0,0.27,N,9
24,60204,MORTGAGE,8.0,PERSONAL,A,10000,7.49,0,0.17,N,4
24,91000,MORTGAGE,0.0,HOMEIMPROVEMENT,A,1000,7.68,0,0.01,N,3
27,72000,RENT,11.0,EDUCATION,A,12000,6.62,0,0.17,N,8
38,55000,OWN,5.0,HOMEIMPROVEMENT,A,15600,7.9,0,0.28,N,15
27,24000,OWN,1.0,PERSONAL,A,6000,8.9,0,0.25,N,10
30,43000,RENT,4.0,VENTURE,D,8000,16.49,0,0.19,N,5
23,51000,RENT,7.0,PERSONAL,A,17000,8.49,1,0.33,N,4
22,55000,RENT,2.0,EDUCATION,A,6000,8.9,0,0.11,N,3
22,61000,MORTGAGE,6.0,EDUCATION,A,12000,7.49,0,0.2,N,2
22,41244,MORTGAGE,6.0,DEBTCONSOLIDATION,B,11500,11.58,1,0.28,N,3
36,85000,RENT,3.0,MEDICAL,A,3825,5.42,0,0.04,N,15
28,46000,MORTGAGE,3.0,EDUCATION,D,16750,14.96,0,0.36,N,6
23,112995,RENT,7.0,VENTURE,A,2500,7.37,0,0.02,N,3
25,65000,MORTGAGE,9.0,PERSONAL,A,5000,7.29,0,0.08,N,4
27,116000,MORTGAGE,4.0,HOMEIMPROVEMENT,D,25000,13.36,1,0.22,Y,7
28,30000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,15000,7.49,0,0.5,N,8
38,91200,MORTGAGE,0.0,HOMEIMPROVEMENT,C,9000,12.68,0,0.1,N,16
41,30600,RENT,0.0,DEBTCONSOLIDATION,B,6500,10.65,0,0.21,N,12
23,150000,MORTGAGE,7.0,MEDICAL,A,8000,6.91,0,0.05,N,2
24,61200,MORTGAGE,9.0,MEDICAL,B,13500,10.83,1,0.19,N,2
22,86004,RENT,6.0,EDUCATION,C,8000,13.92,0,0.09,Y,2
28,34000,MORTGAGE,12.0,EDUCATION,D,10000,16.77,1,0.29,Y,7
36,27000,OWN,4.0,HOMEIMPROVEMENT,A,6000,7.14,0,0.22,N,15
39,102000,RENT,4.0,EDUCATION,B,7800,11.99,0,0.08,N,11
34,120579,MORTGAGE,9.0,DEBTCONSOLIDATION,C,9600,13.48,0,0.08,Y,7
26,51000,RENT,10.0,DEBTCONSOLIDATION,E,12500,14.18,1,0.25,N,4
30,65004,MORTGAGE,3.0,PERSONAL,A,1500,5.99,0,0.02,N,9
30,49000,RENT,13.0,EDUCATION,B,5000,10.74,1,0.1,N,10
25,145000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,8000,8.49,0,0.06,N,3
44,58000,RENT,2.0,HOMEIMPROVEMENT,C,15000,13.48,0,0.26,Y,15
22,54996,MORTGAGE,3.0,EDUCATION,B,12000,9.63,0,0.22,N,2
26,56000,RENT,7.0,MEDICAL,E,22000,17.19,1,0.39,N,3
35,15000,MORTGAGE,0.0,VENTURE,C,1925,12.84,0,0.13,N,6
24,57996,RENT,4.0,HOMEIMPROVEMENT,D,5000,13.24,0,0.09,N,4
30,71000,RENT,2.0,PERSONAL,A,12000,8.9,0,0.17,N,9
25,24996,RENT,1.0,PERSONAL,C,4200,14.26,0,0.17,Y,2
22,66000,RENT,6.0,DEBTCONSOLIDATION,E,11750,17.14,1,0.18,N,2
26,85000,MORTGAGE,0.0,PERSONAL,C,12000,14.27,0,0.14,N,4
26,97700,MORTGAGE,1.0,DEBTCONSOLIDATION,A,10400,9.32,0,0.11,N,3
26,45000,RENT,2.0,PERSONAL,C,4800,13.06,0,0.11,Y,4
22,29950,RENT,0.0,HOMEIMPROVEMENT,D,10750,14.11,1,0.36,N,3
23,48000,RENT,3.0,DEBTCONSOLIDATION,A,8000,8.49,0,0.17,N,2
25,50000,RENT,6.0,MEDICAL,A,4000,6.92,0,0.08,N,4
24,80000,RENT,0.0,MEDICAL,A,22000,7.49,0,0.28,N,4
30,80000,MORTGAGE,1.0,EDUCATION,B,4975,10.59,0,0.06,N,9
36,34000,MORTGAGE,2.0,VENTURE,B,5000,10.65,0,0.15,N,11
32,50004,RENT,5.0,EDUCATION,D,2200,15.65,0,0.04,Y,9
21,33000,RENT,5.0,VENTURE,C,3375,13.49,0,0.1,Y,3
33,53000,RENT,6.0,DEBTCONSOLIDATION,B,2500,9.99,0,0.05,N,7
23,50004,RENT,7.0,EDUCATION,A,10000,6.17,0,0.2,N,4
24,30000,RENT,0.0,PERSONAL,A,10000,8.38,1,0.33,N,2
27,52680,OWN,11.0,PERSONAL,D,8000,14.54,0,0.15,N,10
32,54000,MORTGAGE,16.0,PERSONAL,A,11200,6.03,0,0.21,N,9
23,65000,MORTGAGE,7.0,VENTURE,C,17600,12.72,0,0.27,N,3
24,90000,RENT,0.0,DEBTCONSOLIDATION,A,10000,7.49,0,0.11,N,2
23,80000,MORTGAGE,7.0,EDUCATION,B,17000,12.21,0,0.21,N,2
30,24000,RENT,6.0,MEDICAL,D,5000,15.31,1,0.21,Y,8
24,176004,MORTGAGE,2.0,DEBTCONSOLIDATION,B,3200,10.0,0,0.02,N,4
22,64000,RENT,7.0,VENTURE,D,13000,14.11,0,0.2,N,3
28,80000,RENT,5.0,DEBTCONSOLIDATION,B,2200,9.99,0,0.03,N,6
22,24000,RENT,1.0,EDUCATION,C,2000,13.11,0,0.08,Y,4
43,27036,RENT,1.0,PERSONAL,D,13750,15.31,1,0.51,Y,15
26,37225,RENT,4.0,PERSONAL,C,2500,13.48,0,0.07,N,3
22,43500,RENT,0.0,EDUCATION,A,3000,5.42,0,0.07,N,3
36,60000,RENT,2.0,HOMEIMPROVEMENT,B,15000,10.99,0,0.25,N,12
23,89100,RENT,7.0,PERSONAL,C,16000,13.92,0,0.18,Y,4
35,30555,RENT,4.0,MEDICAL,C,4500,13.22,0,0.15,N,10
23,59000,RENT,5.0,DEBTCONSOLIDATION,A,3000,7.14,0,0.05,N,2
24,115000,MORTGAGE,3.0,DEBTCONSOLIDATION,D,12000,15.05,1,0.1,N,4
23,63996,RENT,2.0,HOMEIMPROVEMENT,D,4000,15.31,1,0.06,Y,2
26,42000,RENT,3.0,VENTURE,A,12000,8.49,0,0.29,N,3
22,75000,RENT,2.0,DEBTCONSOLIDATION,B,21000,10.0,0,0.28,N,4
24,33996,RENT,2.0,VENTURE,D,5000,12.92,1,0.15,N,4
29,37000,RENT,1.0,MEDICAL,B,6500,10.99,0,0.18,N,8
23,46500,RENT,0.0,MEDICAL,D,8400,16.89,1,0.18,Y,3
23,108000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,4500,7.14,0,0.04,N,3
26,102500,MORTGAGE,4.0,EDUCATION,A,11800,6.03,0,0.12,N,2
24,58033,RENT,4.0,VENTURE,B,8000,10.62,0,0.14,N,2
29,62400,RENT,0.0,HOMEIMPROVEMENT,B,3500,10.99,0,0.06,N,5
26,85000,MORTGAGE,0.0,VENTURE,B,20000,10.37,0,0.24,N,2
23,58560,MORTGAGE,7.0,MEDICAL,B,8000,12.21,0,0.14,N,3
32,92000,MORTGAGE,1.0,EDUCATION,B,5000,10.99,0,0.05,N,8
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4
24,33996,RENT,1.0,VENTURE,C,7000,13.16,1,0.21,N,4
23,69000,OWN,7.0,MEDICAL,A,9000,5.99,0,0.13,N,3
28,109200,MORTGAGE,12.0,PERSONAL,B,8000,11.12,0,0.07,N,6
27,54000,MORTGAGE,1.0,DEBTCONSOLIDATION,C,6000,14.27,0,0.11,Y,7
22,72000,RENT,6.0,MEDICAL,C,12000,12.99,0,0.17,Y,3
40,35416,RENT,15.0,MEDICAL,A,2000,6.91,0,0.06,N,14
33,240000,OWN,15.0,PERSONAL,C,15000,13.16,0,0.06,Y,10
23,37000,RENT,2.0,PERSONAL,B,2000,11.14,0,0.05,N,4
23,58216,RENT,5.0,MEDICAL,A,10000,7.49,0,0.17,N,4
21,24996,RENT,6.0,DEBTCONSOLIDATION,C,6000,13.61,0,0.24,N,2
36,50000,RENT,3.0,VENTURE,B,3000,11.26,0,0.06,N,11
27,90000,MORTGAGE,6.0,MEDICAL,B,5500,10.25,0,0.06,N,9
30,48996,RENT,1.0,HOMEIMPROVEMENT,E,10000,15.45,1,0.2,N,5
26,48000,RENT,0.0,PERSONAL,E,6000,16.45,1,0.13,N,4
22,51996,MORTGAGE,6.0,EDUCATION,A,9600,7.14,0,0.18,N,4
28,135000,MORTGAGE,0.0,MEDICAL,A,14400,5.42,0,0.11,N,8
26,35000,RENT,5.0,VENTURE,B,7000,10.99,0,0.2,N,4
23,114000,MORTGAGE,4.0,PERSONAL,B,10000,10.99,0,0.09,N,2
29,200000,MORTGAGE,4.0,MEDICAL,A,12000,7.88,0,0.06,N,7
43,50000,MORTGAGE,12.0,HOMEIMPROVEMENT,B,5000,10.0,0,0.1,N,16
23,90000,MORTGAGE,1.0,EDUCATION,A,13675,7.49,0,0.15,N,4
29,85000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,10000,7.88,0,0.12,N,10
32,190000,RENT,8.0,EDUCATION,A,15000,9.63,0,0.08,N,7
43,32000,RENT,0.0,VENTURE,A,6400,7.49,0,0.2,N,16
25,93500,MORTGAGE,1.0,HOMEIMPROVEMENT,C,14000,12.23,0,0.15,N,4
31,52000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,6400,7.88,0,0.12,N,10
29,36000,RENT,5.0,MEDICAL,A,3075,5.42,0,0.09,N,5
22,88000,MORTGAGE,6.0,EDUCATION,B,5000,11.11,0,0.06,N,4
23,36000,MORTGAGE,7.0,EDUCATION,B,2000,11.49,0,0.06,N,2
26,54600,MORTGAGE,10.0,PERSONAL,B,4800,10.99,0,0.09,N,2
40,32878,RENT,6.0,VENTURE,C,13775,12.98,1,0.42,Y,14
30,151800,MORTGAGE,14.0,HOMEIMPROVEMENT,C,17525,12.72,0,0.12,Y,7
22,27600,RENT,2.0,DEBTCONSOLIDATION,B,6000,10.38,0,0.22,N,4
36,65000,MORTGAGE,6.0,EDUCATION,C,23325,15.27,0,0.36,Y,14
29,60000,MORTGAGE,4.0,EDUCATION,A,5000,7.66,0,0.08,N,10
24,45000,RENT,1.0,VENTURE,B,12000,10.99,0,0.27,N,3
21,37947,RENT,5.0,PERSONAL,A,14000,7.9,1,0.37,N,2
29,74000,MORTGAGE,8.0,EDUCATION,B,25000,11.49,0,0.34,N,6
23,46000,MORTGAGE,7.0,PERSONAL,A,5000,6.62,0,0.11,N,3
32,36000,RENT,2.0,VENTURE,B,5000,11.83,0,0.14,N,10
27,50004,RENT,12.0,DEBTCONSOLIDATION,B,3200,11.49,0,0.06,N,7
27,65000,RENT,0.0,HOMEIMPROVEMENT,B,12000,10.99,0,0.18,N,7
31,89000,MORTGAGE,8.0,PERSONAL,D,12250,15.05,0,0.14,N,8
38,36000,RENT,1.0,MEDICAL,C,8400,13.22,0,0.23,N,16
25,60000,MORTGAGE,10.0,VENTURE,D,10000,16.77,0,0.17,N,3
25,40000,RENT,9.0,EDUCATION,D,5600,14.61,0,0.14,N,2
22,38000,RENT,2.0,MEDICAL,A,18500,7.66,1,0.49,N,4
34,40000,RENT,1.0,DEBTCONSOLIDATION,A,2400,9.32,0,0.06,N,7
26,60000,MORTGAGE,9.0,PERSONAL,C,7200,13.49,0,0.12,N,2
22,60000,MORTGAGE,6.0,VENTURE,A,6125,6.17,0,0.1,N,3
32,76500,RENT,12.0,MEDICAL,D,10000,13.24,1,0.11,Y,9
27,77200,RENT,0.0,DEBTCONSOLIDATION,B,5425,10.59,1,0.07,N,9
26,49000,RENT,0.0,HOMEIMPROVEMENT,F,20000,19.79,1,0.41,N,3
27,66000,RENT,10.0,MEDICAL,C,5000,13.99,0,0.08,Y,10
22,24000,MORTGAGE,2.0,EDUCATION,D,3975,13.87,0,0.17,N,3
29,27600,RENT,2.0,EDUCATION,A,7500,6.62,0,0.27,N,9
24,70000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,16000,10.62,0,0.23,N,2
27,40000,RENT,0.0,VENTURE,D,8000,15.65,1,0.2,Y,6
24,99000,MORTGAGE,8.0,EDUCATION,B,12250,9.88,0,0.12,N,2
32,77000,MORTGAGE,14.0,DEBTCONSOLIDATION,B,23000,11.49,1,0.3,N,6
32,12000,RENT,1.0,MEDICAL,A,9325,8.38,1,0.78,N,6
45,59000,MORTGAGE,5.0,MEDICAL,A,9000,7.9,0,0.15,N,16
37,20000,OWN,2.0,VENTURE,B,3000,12.69,0,0.15,N,17
28,57000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,13000,9.63,0,0.23,N,5
24,80000,MORTGAGE,8.0,VENTURE,D,5000,15.62,0,0.06,N,2
